C1s Scan
	Characteristic Energy eV	1486.68	Acquisition Time s	0.05
KE_C1s Scan	BE_C1s Scan	CPS_C1s Scan	C-C/C-H_1_C1s Scan	C-O_2_C1s Scan	C=O_3_C1s Scan	O-C=O_4_C1s Scan	Background_C1s Scan	Envelope_C1s Scan	Normalised_Residual_C1s Scan	Residual_C1s Scan
1188.97	297.71	1998.71	1998.71	1998.71	1998.71	1998.71	1998.71	1998.71	0	0
1189.07	297.61	2155.92	2155.92	2155.92	2155.92	2155.92	2155.92	2155.92	0	0
1189.17	297.51	2196.02	2196.02	2196.02	2196.02	2196.02	2196.02	2196.02	0	0
1189.27	297.41	2321.12	2321.12	2321.12	2321.12	2321.12	2321.12	2321.12	0	0
1189.37	297.31	1946.88	1946.88	1946.88	1946.88	1946.88	1946.88	1946.88	0	0
1189.47	297.21	1744.25	1744.25	1744.25	1744.25	1744.25	1744.25	1744.25	0	0
1189.57	297.11	1557.3	1557.3	1557.3	1557.3	1557.3	1557.3	1557.3	0	0
1189.67	297.01	1854.04	1854.04	1854.04	1854.04	1854.04	1854.04	1854.04	0	0
1189.77	296.91	1975.15	1975.15	1975.15	1975.15	1975.15	1975.15	1975.15	0	0
1189.87	296.81	1972.08	1972.08	1972.08	1972.08	1972.08	1972.08	1972.08	0	0
1189.97	296.71	1956.39	1956.39	1956.39	1956.39	1956.39	1956.39	1956.39	0	0
1190.07	296.61	1834.59	1834.59	1834.59	1834.59	1834.59	1834.59	1834.59	0	0
1190.17	296.51	1774.12	1774.12	1774.12	1774.12	1774.12	1774.12	1774.12	0	0
1190.27	296.41	1871.23	1871.23	1871.23	1871.23	1871.23	1871.23	1871.23	0	0
1190.37	296.31	1769.97	1769.97	1769.97	1769.97	1769.97	1769.97	1769.97	0	0
1190.47	296.21	1689.35	1689.35	1689.35	1689.35	1689.35	1689.35	1689.35	0	0
1190.57	296.11	1351.65	1351.65	1351.65	1351.65	1351.65	1351.65	1351.65	0	0
1190.67	296.01	1713.03	1713.03	1713.03	1713.03	1713.03	1713.03	1713.03	0	0
1190.77	295.91	1525.17	1525.17	1525.17	1525.17	1525.17	1525.17	1525.17	0	0
1190.87	295.81	1529.06	1529.06	1529.06	1529.06	1529.06	1529.06	1529.06	0	0
1190.97	295.71	1699.82	1699.82	1699.82	1699.82	1699.82	1699.82	1699.82	0	0
1191.07	295.61	1247.6	1247.6	1247.6	1247.6	1247.6	1247.6	1247.6	0	0
1191.17	295.51	1585.74	1585.74	1585.74	1585.74	1585.74	1585.74	1585.74	0	0
1191.27	295.41	1630.59	1630.59	1630.59	1630.59	1630.59	1630.59	1630.59	0	0
1191.37	295.31	1295.4	1295.4	1295.4	1295.4	1295.4	1295.4	1295.4	0	0
1191.47	295.21	1289.4	1289.4	1289.4	1289.4	1289.4	1289.4	1289.4	0	0
1191.57	295.11	1299.87	1299.87	1299.87	1299.87	1299.87	1299.87	1299.87	0	0
1191.67	295.01	1481.64	1481.64	1481.64	1481.64	1481.64	1481.64	1481.64	0	0
1191.77	294.91	1546.48	1546.48	1546.48	1546.48	1546.48	1546.48	1546.48	0	0
1191.87	294.81	1384.48	1384.48	1384.48	1384.48	1384.48	1384.48	1384.48	0	0
1191.97	294.71	1091.35	1091.35	1091.35	1091.35	1091.35	1091.35	1091.35	0	0
1192.07	294.61	1154.38	1154.38	1154.38	1154.38	1154.38	1154.38	1154.38	0	0
1192.17	294.51	1321.29	1321.29	1321.29	1321.29	1321.29	1321.29	1321.29	0	0
1192.27	294.41	1233.26	1233.26	1233.26	1233.26	1233.26	1233.26	1233.26	0	0
1192.37	294.31	968.618	968.618	968.618	968.618	968.618	968.618	968.618	0	0
1192.47	294.21	1446.48	1446.48	1446.48	1446.48	1446.48	1446.48	1446.48	0	0
1192.57	294.11	861.074	861.074	861.074	861.074	861.074	861.074	861.074	0	0
1192.67	294.01	703.078	703.078	703.078	703.078	703.078	703.078	703.078	0	0
1192.77	293.91	848.11	848.11	848.11	848.11	848.11	848.11	848.11	0	0
1192.87	293.81	1022.11	1022.11	1022.11	1022.11	1022.11	1022.11	1022.11	0	0
1192.97	293.71	707.178	707.178	707.178	707.178	707.178	707.178	707.178	0	0
1193.07	293.61	870.102	870.102	870.102	870.102	870.102	870.102	870.102	0	0
1193.17	293.51	779.398	779.398	779.398	779.398	779.398	779.398	779.398	0	0
1193.27	293.41	963.09	963.09	963.09	963.09	963.09	963.09	963.09	0	0
1193.37	293.31	569.256	569.256	569.256	569.256	569.256	569.256	569.256	0	0
1193.47	293.21	642.246	642.246	642.246	642.246	642.246	642.246	642.246	0	0
1193.57	293.11	588.17	588.17	588.17	588.17	588.17	588.17	588.17	0	0
1193.67	293.01	752.736	752.736	752.736	752.736	752.737	752.736	752.737	0	0
1193.77	292.91	483.246	483.246	483.246	483.246	483.247	483.246	483.247	0	0
1193.87	292.81	707.39	707.39	707.39	707.39	707.392	707.39	707.392	0	0
1193.97	292.71	594.158	594.158	594.158	594.158	594.161	594.158	594.161	0	0
1194.07	292.61	470.628	470.628	470.628	470.628	470.634	470.628	470.634	0	0
1194.17	292.51	526.856	526.856	526.856	526.856	526.866	526.856	526.866	0	0
1194.27	292.41	576.188	576.188	576.188	576.188	576.205	576.188	576.205	0	0
1194.37	292.31	439.46	439.46	439.46	439.46	439.489	439.46	439.489	0	0
1194.47	292.21	437.264	437.264	437.264	437.264	437.314	437.264	437.314	0	0
1194.57	292.11	501.362	501.362	501.362	501.363	501.445	501.362	501.445	0	0
1194.67	292.01	437.298	437.298	437.298	437.299	437.434	437.298	437.435	0	0
1194.77	291.91	380.732	380.732	380.732	380.734	380.954	380.732	380.956	0	0
1194.87	291.81	475.444	475.444	475.444	475.447	475.799	475.444	475.802	0	0
1194.97	291.71	427.324	427.324	427.324	427.33	427.889	427.324	427.895	0	0
1195.07	291.61	461.348	461.348	461.348	461.359	462.231	461.348	462.242	0	0
1195.17	291.51	388.934	388.934	388.934	388.953	390.299	388.934	390.317	0	0
1195.27	291.41	434.626	434.626	434.626	434.658	436.71	434.626	436.742	0	0
1195.37	291.31	436.826	436.826	436.826	436.881	439.954	436.826	440.009	0	0
1195.47	291.21	401.414	401.414	401.414	401.507	406.077	401.414	406.17	0	0
1195.57	291.11	366.406	366.406	366.406	366.56	373.24	366.406	373.394	0	0
1195.67	291.01	410.518	440.159	440.159	440.411	450.059	440.159	450.311	0.439166	1.98966
1195.77	290.91	543.552	440.16	440.16	440.568	454.32	440.16	454.729	-0.851907	-4.44117
1195.87	290.81	432.348	440.16	440.16	440.81	460.1	440.16	460.75	0.305435	1.42011
1195.97	290.71	411.504	440.16	440.161	441.189	467.975	440.16	469.005	0.63383	2.87504
1196.07	290.61	436.016	440.16	440.161	441.76	478.343	440.16	479.944	0.470405	2.19638
1196.17	290.51	298.988	440.162	440.163	442.621	491.934	440.162	494.394	2.52695	9.77032
1196.27	290.41	372.182	440.162	440.166	443.896	509.403	440.162	513.14	1.63379	7.04789
1196.37	290.31	578.2	440.163	440.17	445.739	531.372	440.163	536.954	-0.383557	-2.06231
1196.47	290.21	515.51	440.164	440.175	448.429	558.85	440.164	567.126	0.508333	2.58079
1196.57	290.11	596.458	440.166	440.186	452.21	592.146	440.166	604.211	0.0709821	0.387636
1196.67	290.01	624.22	440.167	440.204	457.523	632.022	440.167	649.413	0.225478	1.25967
1196.77	289.91	850.758	440.171	440.235	464.854	678.604	440.171	703.352	-1.13005	-7.37031
1196.87	289.81	908.972	440.175	440.286	474.749	731.653	440.175	766.338	-1.05787	-7.1317
1196.97	289.71	808.99	440.179	440.368	488.129	790.816	440.179	838.956	0.235582	1.4983
1197.07	289.61	926.292	440.183	440.505	505.631	854.526	440.183	920.296	-0.0440551	-0.299817
1197.17	289.51	1154.56	440.19	440.726	528.43	921.04	440.19	1009.82	-0.952532	-7.23724
1197.27	289.41	943.858	440.194	441.079	557.512	987.69	440.194	1105.89	1.17934	8.1017
1197.37	289.31	1055.68	440.2	441.64	593.842	1051.39	440.2	1206.47	1.03777	7.5397
1197.47	289.21	1103.17	440.206	442.512	638.894	1108.37	440.206	1309.36	1.38815	10.3096
