C1s Scan
	Characteristic Energy eV	1486.68	Acquisition Time s	0.05
KE_C1s Scan	BE_C1s Scan	CPS_C1s Scan	C-C/C-H_1_C1s Scan	C-O_2_C1s Scan	C=O_3_C1s Scan	O-C=O_4_C1s Scan	Background_C1s Scan	Envelope_C1s Scan	Normalised_Residual_C1s Scan	Residual_C1s Scan
1189.43	297.25	1676.32	1676.32	1676.32	1676.32	1676.32	1676.32	1676.32	0	0
1189.53	297.15	1474.47	1474.47	1474.47	1474.47	1474.47	1474.47	1474.47	0	0
1189.63	297.05	1376.92	1376.92	1376.92	1376.92	1376.92	1376.92	1376.92	0	0
1189.73	296.95	1656.32	1656.32	1656.32	1656.32	1656.32	1656.32	1656.32	0	0
1189.83	296.85	1659.4	1659.4	1659.4	1659.4	1659.4	1659.4	1659.4	0	0
1189.93	296.75	1410.88	1410.88	1410.88	1410.88	1410.88	1410.88	1410.88	0	0
1190.03	296.65	1352.5	1352.5	1352.5	1352.5	1352.5	1352.5	1352.5	0	0
1190.13	296.55	1524.99	1524.99	1524.99	1524.99	1524.99	1524.99	1524.99	0	0
1190.23	296.45	1295.27	1295.27	1295.27	1295.27	1295.27	1295.27	1295.27	0	0
1190.33	296.35	1293.82	1293.82	1293.82	1293.82	1293.82	1293.82	1293.82	0	0
1190.43	296.25	1345.93	1345.93	1345.93	1345.93	1345.93	1345.93	1345.93	0	0
1190.53	296.15	1453.17	1453.17	1453.17	1453.17	1453.17	1453.17	1453.17	0	0
1190.63	296.05	1797.34	1797.34	1797.34	1797.34	1797.34	1797.34	1797.34	0	0
1190.73	295.95	1839.57	1839.57	1839.57	1839.57	1839.57	1839.57	1839.57	0	0
1190.83	295.85	1569.09	1569.09	1569.09	1569.09	1569.09	1569.09	1569.09	0	0
1190.93	295.75	1380.34	1380.34	1380.34	1380.34	1380.34	1380.34	1380.34	0	0
1191.03	295.65	1234.88	1234.88	1234.88	1234.88	1234.88	1234.88	1234.88	0	0
1191.13	295.55	1613.6	1613.6	1613.6	1613.6	1613.6	1613.6	1613.6	0	0
1191.23	295.45	1448.27	1448.27	1448.27	1448.27	1448.27	1448.27	1448.27	0	0
