C1s Scan
	Characteristic Energy eV	1486.68	Acquisition Time s	0.05
KE_C1s Scan	BE_C1s Scan	CPS_C1s Scan	C-C/C-H_1_C1s Scan	C-O_2_C1s Scan	C=O_3_C1s Scan	O-C=O_4_C1s Scan	Background_C1s Scan	Envelope_C1s Scan	Normalised_Residual_C1s Scan	Residual_C1s Scan
1189.28	297.396	4063.82	4063.82	4063.82	4063.82	4063.82	4063.82	4063.82	0	0
1189.38	297.296	4424.82	4424.82	4424.82	4424.82	4424.82	4424.82	4424.82	0	0
1189.48	297.196	3808.8	3808.8	3808.8	3808.8	3808.8	3808.8	3808.8	0	0
1189.58	297.096	3791.08	3791.08	3791.08	3791.08	3791.08	3791.08	3791.08	0	0
1189.68	296.996	4329.06	4329.06	4329.06	4329.06	4329.06	4329.06	4329.06	0	0
1189.78	296.896	3880.02	3880.02	3880.02	3880.02	3880.02	3880.02	3880.02	0	0
1189.88	296.796	4193.74	4193.74	4193.74	4193.74	4193.74	4193.74	4193.74	0	0
1189.98	296.696	3719.38	3719.38	3719.38	3719.38	3719.38	3719.38	3719.38	0	0
1190.08	296.596	3941.6	3941.6	3941.6	3941.6	3941.6	3941.6	3941.6	0	0
1190.18	296.496	4127.78	4127.78	4127.78	4127.78	4127.78	4127.78	4127.78	0	0
1190.28	296.396	3941.9	3941.9	3941.9	3941.9	3941.9	3941.9	3941.9	0	0
1190.38	296.296	4135.5	4135.5	4135.5	4135.5	4135.5	4135.5	4135.5	0	0
1190.48	296.196	4026.54	4026.54	4026.54	4026.54	4026.54	4026.54	4026.54	0	0
1190.58	296.096	4177.56	4177.56	4177.56	4177.56	4177.56	4177.56	4177.56	0	0
1190.68	295.996	4224.96	4224.96	4224.96	4224.96	4224.96	4224.96	4224.96	0	0
1190.78	295.896	3989.12	3989.12	3989.12	3989.12	3989.12	3989.12	3989.12	0	0
1190.88	295.796	3810.04	3810.04	3810.04	3810.04	3810.04	3810.04	3810.04	0	0
1190.98	295.696	3883.48	3883.48	3883.48	3883.48	3883.48	3883.48	3883.48	0	0
1191.08	295.596	3510.62	3510.62	3510.62	3510.62	3510.62	3510.62	3510.62	0	0
1191.18	295.496	3686.7	3686.7	3686.7	3686.7	3686.7	3686.7	3686.7	0	0
1191.28	295.396	3303.7	3303.7	3303.7	3303.7	3303.7	3303.7	3303.7	0	0
1191.38	295.296	3783.54	3783.54	3783.54	3783.54	3783.54	3783.54	3783.54	0	0
1191.48	295.196	3977.68	3977.68	3977.68	3977.68	3977.68	3977.68	3977.68	0	0
1191.58	295.096	3699.18	3699.18	3699.18	3699.18	3699.18	3699.18	3699.18	0	0
1191.68	294.996	3519.94	3519.94	3519.94	3519.94	3519.94	3519.94	3519.94	0	0
1191.78	294.896	3837.16	3837.16	3837.16	3837.16	3837.16	3837.16	3837.16	0	0
1191.88	294.796	3457.44	3457.44	3457.44	3457.44	3457.44	3457.44	3457.44	0	0
1191.98	294.696	3793.6	3793.6	3793.6	3793.6	3793.6	3793.6	3793.6	0	0
1192.08	294.596	3511.14	3511.14	3511.14	3511.14	3511.14	3511.14	3511.14	0	0
1192.18	294.496	3410.28	3410.28	3410.28	3410.28	3410.28	3410.28	3410.28	0	0
1192.28	294.396	3488.08	3488.08	3488.08	3488.08	3488.08	3488.08	3488.08	0	0
1192.38	294.296	3619.08	3619.08	3619.08	3619.08	3619.08	3619.08	3619.08	0	0
1192.48	294.196	3157.72	3157.72	3157.72	3157.72	3157.72	3157.72	3157.72	0	0
1192.58	294.096	3420.84	3420.84	3420.84	3420.84	3420.84	3420.84	3420.84	0	0
1192.68	293.996	3405.24	3405.24	3405.24	3405.24	3405.24	3405.24	3405.24	0	0
1192.78	293.896	3519.46	3519.46	3519.46	3519.46	3519.46	3519.46	3519.46	0	0
1192.88	293.796	3453.34	3453.34	3453.34	3453.34	3453.34	3453.34	3453.34	0	0
1192.98	293.696	3290.06	3290.06	3290.06	3290.06	3290.06	3290.06	3290.06	0	0
1193.08	293.596	3459.58	3459.58	3459.58	3459.58	3459.58	3459.58	3459.58	0	0
1193.18	293.496	4016.8	4016.8	4016.8	4016.8	4016.8	4016.8	4016.8	0	0
1193.28	293.396	2864.92	2864.92	2864.92	2864.92	2864.92	2864.92	2864.92	0	0
1193.38	293.296	3407.52	3407.52	3407.52	3407.52	3407.52	3407.52	3407.52	0	0
1193.48	293.196	3496.02	3496.02	3496.02	3496.02	3496.02	3496.02	3496.02	0	0
1193.58	293.096	3489.42	3489.42	3489.42	3489.42	3489.42	3489.42	3489.42	0	0
1193.68	292.996	3341.42	3341.42	3341.42	3341.42	3341.42	3341.42	3341.42	0	0
1193.78	292.896	3275.16	3275.16	3275.16	3275.16	3275.16	3275.16	3275.16	0	0
1193.88	292.796	2717.76	2717.76	2717.76	2717.76	2717.76	2717.76	2717.76	0	0
1193.98	292.696	3426.38	3426.38	3426.38	3426.38	3426.38	3426.38	3426.38	0	0
1194.08	292.596	3390.1	3390.1	3390.1	3390.1	3390.1	3390.1	3390.1	0	0
1194.18	292.496	3258.72	3258.72	3258.72	3258.72	3258.72	3258.72	3258.72	0	0
1194.28	292.396	3644.62	3644.62	3644.62	3644.62	3644.62	3644.62	3644.62	0	0
1194.38	292.296	2826.88	2826.88	2826.88	2826.88	2826.88	2826.88	2826.88	0	0
1194.48	292.196	3353.48	3353.48	3353.48	3353.48	3353.48	3353.48	3353.48	0	0
1194.58	292.096	3516.22	3516.22	3516.22	3516.22	3516.23	3516.22	3516.23	0	0
1194.68	291.996	3136.7	3136.7	3136.7	3136.7	3136.71	3136.7	3136.71	0	0
1194.78	291.896	2876.22	2876.22	2876.22	2876.22	2876.25	2876.22	2876.25	0	0
1194.88	291.796	3407.78	3407.78	3407.78	3407.78	3407.84	3407.78	3407.84	0	0
1194.98	291.696	2785.3	2785.3	2785.3	2785.3	2785.41	2785.3	2785.41	0	0
1195.08	291.596	3079.58	3079.58	3079.58	3079.58	3079.8	3079.58	3079.8	0	0
1195.18	291.496	3163.34	3163.34	3163.34	3163.34	3163.74	3163.34	3163.74	0	0
1195.28	291.396	2725.62	2725.62	2725.62	2725.62	2726.37	2725.62	2726.37	0	0
1195.38	291.296	3036.96	3036.96	3036.96	3036.96	3038.31	3036.96	3038.31	0	0
1195.48	291.196	3061.92	3061.92	3061.92	3061.92	3064.31	3061.92	3064.31	0	0
1195.58	291.096	3428.44	3428.44	3428.44	3428.44	3432.6	3428.44	3432.6	0	0
1195.68	290.996	2958.28	3105.42	3105.42	3105.42	3112.51	3105.42	3112.51	0.63406	7.71143
1195.78	290.896	2929.72	3105.35	3105.35	3105.36	3117.19	3105.35	3117.2	0.774493	9.3738
1195.88	290.796	3400.1	3105.24	3105.24	3105.24	3124.64	3105.24	3124.64	-1.05631	-13.7728
1195.98	290.696	3194.06	3105.2	3105.2	3105.21	3136.38	3105.2	3136.39	-0.228182	-2.88362
1196.08	290.596	3515.32	3105.04	3105.04	3105.06	3154.16	3105.04	3154.18	-1.36201	-18.0572
1196.18	290.496	3135.54	3105.03	3105.03	3105.06	3180.91	3105.03	3180.93	0.18127	2.26969
1196.28	290.396	3356.32	3104.93	3104.93	3104.98	3219.83	3104.93	3219.88	-0.526606	-6.82186
1196.38	290.296	3156.48	3104.91	3104.91	3105	3275.45	3104.91	3275.54	0.473875	5.9532
1196.48	290.196	3319.36	3104.83	3104.83	3104.99	3352.86	3104.83	3353.03	0.130662	1.68331
1196.58	290.096	3223.58	3104.78	3104.78	3105.08	3458.14	3104.78	3458.44	0.924951	11.7428
1196.68	289.996	3554.8	3104.61	3104.61	3105.13	3597.49	3104.61	3598.02	0.162098	2.16108
1196.78	289.896	3783.72	3104.34	3104.34	3105.25	3777.11	3104.34	3778.02	-0.0207205	-0.285
1196.88	289.796	3844.86	3104.05	3104.06	3105.6	4001.98	3104.05	4003.54	0.572213	7.93383
1196.98	289.696	4256.38	3103.6	3103.61	3106.18	4274.45	3103.6	4277.04	0.0708096	1.03299
1197.08	289.596	4541.38	3103.04	3103.06	3107.26	4593	3103.04	4597.24	0.185336	2.79279
1197.18	289.496	4783.2	3102.38	3102.42	3109.15	4950.48	3102.38	4957.28	0.562842	8.70423
1197.28	289.396	5487.06	3101.45	3101.52	3112.1	5332.72	3101.45	5343.43	-0.433559	-7.18131
1197.38	289.296	5567.3	3100.49	3100.62	3116.9	5718.4	3100.49	5734.95	0.502431	8.3827
1197.48	289.196	6273.28	3099.24	3099.5	3124.06	6079.64	3099.24	6104.72	-0.475888	-8.42825
1197.58	289.096	6321.94	3097.98	3098.47	3134.75	6385.65	3097.98	6422.9	0.283935	5.04811
1197.68	288.996	6941.32	3096.48	3097.37	3149.84	6606.19	3096.48	6660.44	-0.753846	-14.0439
1197.78	288.896	6671.44	3095.08	3096.69	3170.94	6717.85	3095.08	6795.31	0.339109	6.19347
1197.88	288.796	6907.36	3093.59	3096.42	3199.17	6707.71	3093.59	6816.11	-0.245503	-4.56244
1197.98	288.696	6940.14	3092.09	3096.97	3235.85	6576.88	3092.09	6725.53	-0.576049	-10.7307
1198.08	288.596	6455.06	3090.78	3099.05	3282.17	6340.09	3090.77	6539.77	0.235766	4.23562
1198.18	288.496	5896.22	3089.68	3103.44	3338.58	6022.34	3089.68	6285.01	1.13218	19.4397
1198.28	288.396	6539.48	3088.34	3110.77	3404.17	5653.6	3088.33	5991.89	-1.51414	-27.3793
1198.38	288.296	5258.62	3087.5	3123.37	3478.04	5265.36	3087.48	5691.84	1.33585	21.6609
