C1s Scan
	Characteristic Energy eV	1486.68	Acquisition Time s	0.05
KE_C1s Scan	BE_C1s Scan	CPS_C1s Scan	C-C/C-H_1_C1s Scan	C-O_2_C1s Scan	C=O_3_C1s Scan	O-C=O_4_C1s Scan	Background_C1s Scan	Envelope_C1s Scan	Normalised_Residual_C1s Scan	Residual_C1s Scan
1188.96	297.722	2126.08	2126.08	2126.08	2126.08	2126.08	2126.08	2126.08	0	0
1189.06	297.622	2119.8	2119.8	2119.8	2119.8	2119.8	2119.8	2119.8	0	0
1189.16	297.522	2067.92	2067.92	2067.92	2067.92	2067.92	2067.92	2067.92	0	0
1189.26	297.422	2026.08	2026.08	2026.08	2026.08	2026.08	2026.08	2026.08	0	0
1189.36	297.322	2016.48	2016.48	2016.48	2016.48	2016.48	2016.48	2016.48	0	0
1189.46	297.222	1984.53	1984.53	1984.53	1984.53	1984.53	1984.53	1984.53	0	0
1189.56	297.122	1943.33	1943.33	1943.33	1943.33	1943.33	1943.33	1943.33	0	0
1189.66	297.022	1835.51	1835.51	1835.51	1835.51	1835.51	1835.51	1835.51	0	0
1189.76	296.922	2183.62	2183.62	2183.62	2183.62	2183.62	2183.62	2183.62	0	0
1189.86	296.822	1984.48	1984.48	1984.48	1984.48	1984.48	1984.48	1984.48	0	0
1189.96	296.722	1843.98	1843.98	1843.98	1843.98	1843.98	1843.98	1843.98	0	0
1190.06	296.622	1814.81	1814.81	1814.81	1814.81	1814.81	1814.81	1814.81	0	0
1190.16	296.522	1940.93	1940.93	1940.93	1940.93	1940.93	1940.93	1940.93	0	0
1190.26	296.422	2028.76	2028.76	2028.76	2028.76	2028.76	2028.76	2028.76	0	0
1190.36	296.322	2221.34	2221.34	2221.34	2221.34	2221.34	2221.34	2221.34	0	0
1190.46	296.222	1747.36	1747.36	1747.36	1747.36	1747.36	1747.36	1747.36	0	0
1190.56	296.122	1470.91	1470.91	1470.91	1470.91	1470.91	1470.91	1470.91	0	0
1190.66	296.022	1392.31	1392.31	1392.31	1392.31	1392.31	1392.31	1392.31	0	0
1190.76	295.922	1902.42	1902.42	1902.42	1902.42	1902.42	1902.42	1902.42	0	0
1190.86	295.822	1220.86	1220.86	1220.86	1220.86	1220.86	1220.86	1220.86	0	0
