C1s Scan
	Characteristic Energy eV	1486.68	Acquisition Time s	0.05
KE_C1s Scan	BE_C1s Scan	CPS_C1s Scan	C-C/C-H_1_C1s Scan	C-O_2_C1s Scan	C=O_3_C1s Scan	O-C=O_4_C1s Scan	Background_C1s Scan	Envelope_C1s Scan	Normalised_Residual_C1s Scan	Residual_C1s Scan
1189.01	297.666	1712.31	1712.31	1712.31	1712.31	1712.31	1712.31	1712.31	0	0
1189.11	297.566	1779.99	1779.99	1779.99	1779.99	1779.99	1779.99	1779.99	0	0
1189.21	297.466	1578.91	1578.91	1578.91	1578.91	1578.91	1578.91	1578.91	0	0
1189.31	297.366	1877.82	1877.82	1877.82	1877.82	1877.82	1877.82	1877.82	0	0
1189.41	297.266	1747.94	1747.94	1747.94	1747.94	1747.94	1747.94	1747.94	0	0
1189.51	297.166	1763.77	1763.77	1763.77	1763.77	1763.77	1763.77	1763.77	0	0
1189.61	297.066	1618.99	1618.99	1618.99	1618.99	1618.99	1618.99	1618.99	0	0
1189.71	296.966	1544.38	1544.38	1544.38	1544.38	1544.38	1544.38	1544.38	0	0
1189.81	296.866	1429.46	1429.46	1429.46	1429.46	1429.46	1429.46	1429.46	0	0
1189.91	296.766	1293.69	1293.69	1293.69	1293.69	1293.69	1293.69	1293.69	0	0
1190.01	296.666	1546.73	1546.73	1546.73	1546.73	1546.73	1546.73	1546.73	0	0
1190.11	296.566	1456.12	1456.12	1456.12	1456.12	1456.12	1456.12	1456.12	0	0
1190.21	296.466	1584.25	1584.25	1584.25	1584.25	1584.25	1584.25	1584.25	0	0
1190.31	296.366	1508.88	1508.88	1508.88	1508.88	1508.88	1508.88	1508.88	0	0
1190.41	296.266	1511.98	1511.98	1511.98	1511.98	1511.98	1511.98	1511.98	0	0
1190.51	296.166	1526.63	1526.63	1526.63	1526.63	1526.63	1526.63	1526.63	0	0
1190.61	296.066	1290.11	1290.11	1290.11	1290.11	1290.11	1290.11	1290.11	0	0
1190.71	295.966	1447.21	1447.21	1447.21	1447.21	1447.21	1447.21	1447.21	0	0
1190.81	295.866	1414.01	1414.01	1414.01	1414.01	1414.01	1414.01	1414.01	0	0
1190.91	295.766	1502.59	1502.59	1502.59	1502.59	1502.59	1502.59	1502.59	0	0
1191.01	295.666	1004.44	1004.44	1004.44	1004.44	1004.44	1004.44	1004.44	0	0
1191.11	295.566	1364.42	1364.42	1364.42	1364.42	1364.42	1364.42	1364.42	0	0
1191.21	295.466	1313.81	1313.81	1313.81	1313.81	1313.81	1313.81	1313.81	0	0
1191.31	295.366	1160.78	1160.78	1160.78	1160.78	1160.78	1160.78	1160.78	0	0
1191.41	295.266	1253.09	1253.09	1253.09	1253.09	1253.09	1253.09	1253.09	0	0
1191.51	295.166	1375.18	1375.18	1375.18	1375.18	1375.18	1375.18	1375.18	0	0
