C1s Scan
	Characteristic Energy eV	1486.68	Acquisition Time s	0.05
KE_C1s Scan	BE_C1s Scan	CPS_C1s Scan	C-C/C-H_1_C1s Scan	C-O_2_C1s Scan	C=O_3_C1s Scan	O-C=O_4_C1s Scan	Background_C1s Scan	Envelope_C1s Scan	Normalised_Residual_C1s Scan	Residual_C1s Scan
1188.87	297.815	1550.5	1550.5	1550.5	1550.5	1550.5	1550.5	1550.5	0	0
1188.97	297.715	1769.25	1769.25	1769.25	1769.25	1769.25	1769.25	1769.25	0	0
1189.07	297.615	1331.18	1331.18	1331.18	1331.18	1331.18	1331.18	1331.18	0	0
1189.17	297.515	1377.89	1377.89	1377.89	1377.89	1377.89	1377.89	1377.89	0	0
1189.27	297.415	1550.07	1550.07	1550.07	1550.07	1550.07	1550.07	1550.07	0	0
1189.37	297.315	1631.21	1631.21	1631.21	1631.21	1631.21	1631.21	1631.21	0	0
1189.47	297.215	1538.77	1538.77	1538.77	1538.77	1538.77	1538.77	1538.77	0	0
1189.57	297.115	1450.9	1450.9	1450.9	1450.9	1450.9	1450.9	1450.9	0	0
1189.67	297.015	1579.18	1579.18	1579.18	1579.18	1579.18	1579.18	1579.18	0	0
1189.77	296.915	1684.91	1684.91	1684.91	1684.91	1684.91	1684.91	1684.91	0	0
1189.87	296.815	1501.23	1501.23	1501.23	1501.23	1501.23	1501.23	1501.23	0	0
1189.97	296.715	1231.84	1231.84	1231.84	1231.84	1231.84	1231.84	1231.84	0	0
1190.07	296.615	1010.11	1010.11	1010.11	1010.11	1010.11	1010.11	1010.11	0	0
1190.17	296.515	1263.54	1263.54	1263.54	1263.54	1263.54	1263.54	1263.54	0	0
1190.27	296.415	1295.25	1295.25	1295.25	1295.25	1295.25	1295.25	1295.25	0	0
1190.37	296.315	1368.57	1368.57	1368.57	1368.57	1368.57	1368.57	1368.57	0	0
1190.47	296.215	1422.12	1422.12	1422.12	1422.12	1422.12	1422.12	1422.12	0	0
1190.57	296.115	1046.89	1046.89	1046.89	1046.89	1046.89	1046.89	1046.89	0	0
1190.67	296.015	1296.63	1296.63	1296.63	1296.63	1296.63	1296.63	1296.63	0	0
1190.77	295.915	1072.69	1072.69	1072.69	1072.69	1072.69	1072.69	1072.69	0	0
1190.87	295.815	1249.71	1249.71	1249.71	1249.71	1249.71	1249.71	1249.71	0	0
1190.97	295.715	973.322	973.322	973.322	973.322	973.322	973.322	973.322	0	0
1191.07	295.615	1215.33	1215.33	1215.33	1215.33	1215.33	1215.33	1215.33	0	0
1191.17	295.515	1326.76	1326.76	1326.76	1326.76	1326.76	1326.76	1326.76	0	0
1191.27	295.415	983.892	983.892	983.892	983.892	983.892	983.892	983.892	0	0
1191.37	295.315	1075.73	1075.73	1075.73	1075.73	1075.73	1075.73	1075.73	0	0
1191.47	295.215	921.564	921.564	921.564	921.564	921.564	921.564	921.564	0	0
1191.57	295.115	1123.13	1123.13	1123.13	1123.13	1123.13	1123.13	1123.13	0	0
1191.67	295.015	885.474	885.474	885.474	885.474	885.474	885.474	885.474	0	0
1191.77	294.915	1203.11	1203.11	1203.11	1203.11	1203.11	1203.11	1203.11	0	0
1191.87	294.815	895.082	895.082	895.082	895.082	895.082	895.082	895.082	0	0
1191.97	294.715	683.384	683.384	683.384	683.384	683.384	683.384	683.384	0	0
1192.07	294.615	1021.75	1021.75	1021.75	1021.75	1021.75	1021.75	1021.75	0	0
1192.17	294.515	820.132	820.132	820.132	820.132	820.132	820.132	820.132	0	0
1192.27	294.415	866.248	866.248	866.248	866.248	866.248	866.248	866.248	0	0
1192.37	294.315	748.426	748.426	748.426	748.426	748.426	748.426	748.426	0	0
1192.47	294.215	815.2	815.2	815.2	815.2	815.2	815.2	815.2	0	0
1192.57	294.115	759.946	759.946	759.946	759.946	759.946	759.946	759.946	0	0
1192.67	294.015	533.096	533.096	533.096	533.096	533.096	533.096	533.096	0	0
1192.77	293.915	589.362	589.362	589.362	589.362	589.362	589.362	589.362	0	0
1192.87	293.815	675.396	675.396	675.396	675.396	675.396	675.396	675.396	0	0
1192.97	293.715	584.644	584.644	584.644	584.644	584.644	584.644	584.644	0	0
1193.07	293.615	647.942	647.942	647.942	647.942	647.942	647.942	647.942	0	0
1193.17	293.515	601.962	601.962	601.962	601.962	601.962	601.962	601.962	0	0
1193.27	293.415	458.338	458.338	458.338	458.338	458.338	458.338	458.338	0	0
1193.37	293.315	623.918	623.918	623.918	623.918	623.918	623.918	623.918	0	0
1193.47	293.215	745.218	745.218	745.218	745.218	745.218	745.218	745.218	0	0
1193.57	293.115	576.468	576.468	576.468	576.468	576.468	576.468	576.468	0	0
1193.67	293.015	503.638	503.638	503.638	503.638	503.638	503.638	503.638	0	0
1193.77	292.915	530.356	530.356	530.356	530.356	530.356	530.356	530.356	0	0
1193.87	292.815	328.172	328.172	328.172	328.172	328.172	328.172	328.172	0	0
1193.97	292.715	270.314	270.314	270.314	270.314	270.314	270.314	270.314	0	0
1194.07	292.615	395.218	395.218	395.218	395.218	395.219	395.218	395.219	0	0
1194.17	292.515	314.19	314.19	314.19	314.19	314.192	314.19	314.192	0	0
1194.27	292.415	255.182	255.182	255.182	255.182	255.185	255.182	255.185	0	0
1194.37	292.315	319.052	319.052	319.052	319.052	319.059	319.052	319.059	0	0
1194.47	292.215	243.966	243.966	243.966	243.966	243.978	243.966	243.978	0	0
1194.57	292.115	210.682	210.682	210.682	210.682	210.705	210.682	210.705	0	0
1194.67	292.015	243.732	243.732	243.732	243.732	243.773	243.732	243.773	0	0
1194.77	291.915	308.504	308.504	308.504	308.504	308.577	308.504	308.577	0	0
1194.87	291.815	265.36	265.36	265.36	265.36	265.488	265.36	265.488	0	0
1194.97	291.715	304.95	304.95	304.95	304.95	305.17	304.95	305.17	0	0
1195.07	291.615	287.568	287.568	287.568	287.568	287.941	287.568	287.941	0	0
1195.17	291.515	394.48	394.48	394.48	394.481	395.1	394.48	395.101	0	0
1195.27	291.415	303.622	303.622	303.622	303.623	304.636	303.622	304.637	0	0
1195.37	291.315	184.104	184.104	184.104	184.107	185.73	184.104	185.733	0	0
1195.47	291.215	444.162	444.162	444.162	444.168	446.739	444.162	446.745	0	0
1195.57	291.115	175.169	175.169	175.169	175.179	179.178	175.169	179.188	0	0
1195.67	291.015	185.553	208.974	208.974	208.994	215.097	208.974	215.116	0.485294	1.47817
1195.77	290.915	266.186	208.987	208.987	209.024	218.172	208.987	218.208	-0.657552	-2.39888
1195.87	290.815	181.986	208.993	208.993	209.059	222.581	208.993	222.648	0.673994	2.03311
1195.97	290.715	221.714	208.996	208.996	209.114	228.73	208.996	228.848	0.107126	0.356678
1196.07	290.615	244.308	209.004	209.004	209.21	237.138	209.004	237.344	-0.0996266	-0.3482
1196.17	290.515	196.652	209.007	209.007	209.363	248.4	209.007	248.756	0.830825	2.60522
1196.27	290.415	352.746	209.038	209.039	209.643	263.308	209.038	263.913	-1.05762	-4.44165
1196.37	290.315	303.19	209.059	209.059	210.066	282.393	209.059	283.399	-0.254151	-0.989541
1196.47	290.215	387.108	209.099	209.099	210.744	306.272	209.099	307.917	-0.900002	-3.95954
1196.57	290.115	174.012	209.107	209.107	211.763	335.36	209.107	338.017	2.78005	8.20026
1196.67	290.015	403.35	209.15	209.15	213.36	369.996	209.15	374.207	-0.324476	-1.45717
1196.77	289.915	336.758	209.178	209.179	215.727	409.682	209.178	416.233	0.968403	3.97374
1196.87	289.815	432.448	209.228	209.23	219.244	453.602	209.228	463.621	0.335195	1.55865
1196.97	289.715	537.66	209.301	209.306	224.402	500.263	209.301	515.37	-0.214953	-1.1145
1197.07	289.615	751.402	209.421	209.431	231.772	547.394	209.421	569.756	-1.48175	-9.08232
1197.17	289.515	511.74	209.488	209.508	241.969	591.991	209.488	624.492	1.11452	5.63762
1197.27	289.415	533.992	209.56	209.599	255.951	630.95	209.56	677.379	1.38749	7.16937
1197.37	289.315	710.816	209.671	209.744	274.873	661.047	209.671	726.322	0.130046	0.775282
1197.47	289.215	942.572	209.834	209.968	299.753	679.328	209.834	769.38	-1.2614	-8.65958
1197.57	289.115	839.94	209.974	210.217	331.634	684.252	209.974	806.155	-0.260664	-1.68924
1197.67	289.015	805.738	210.106	210.541	371.661	675.377	210.106	837.366	0.249152	1.58142
1197.77	288.915	805.97	210.239	211.004	420.765	653.443	210.239	864.734	0.462848	2.93821
